,desc,location,logo,number,accident
958,鲁ag35r5斯巴鲁刮擦鲁axq019,备案:伯乐路普雷斯顿酒店门口,['斯巴鲁'],"['鲁AG35R5', '鲁AXQ019']",刮擦
959,fdsa,,[],[],未知
960,中华与名爵事故无伤鲁AQ858W鲁A027W3,历城区围子山路山青苑正门门口,"['中华', '名爵']","['鲁AQ858W', '鲁A027W3']",未知
961,起亚鲁AP825B后视镜被刮擦肇事逃逸,北园银座门口,['起亚'],['鲁AP825B'],刮擦
962,鲁AT6561与电动车事故,黑虎泉北路与明湖北路，大明湖东门往东500米,[],['鲁AT6561'],未知
963,鲁ap0n97吉利撞门岗已保险,备案：颖秀路美联广场西门对面,[],['鲁AP0N97'],相撞
964,荣威鲁AHA233凯迪拉克鲁A1A797人没事车损超了开认定,快处花园路与华新路口西30米,['凯迪拉克'],"['鲁AHA233', '鲁A1A797']",未知
965,鲁AZ110V荣威和斯巴鲁鲁AV6N31事故无伤,舜耕会展后面,"['荣威', '斯巴鲁']","['鲁AZ110V', '鲁AV6N31']",未知
966,公交27路鲁AH1759与电动三轮车事故无伤,取消 老屯汽配城,[],['鲁AH1759'],未知
967,别克鲁A073EW与五菱鲁A338QL事故无伤亡,转山西路财富中心金德利门口,['别克'],"['鲁A073EW', '鲁A338QL']",未知
968,报警人的出租车鲁AT2855停在此处被其他车辆刮擦对方已逃逸未看到车型车牌号无伤亡,天桥区黄屯小区名人时代大厦南侧东西方向小路上路北,[],['鲁AT2855'],刮擦
969,出租车与雪佛兰事故无受伤鲁AT4828鲁A707R3,花店街与匡市街路口,['雪佛兰'],"['鲁AT4828', '鲁A707R3']",未知
970,鲁AG50K6起亚轿车鲁AA058K哈弗事故无伤,民生大街经七路路口往南100米,"['起亚', '哈弗']","['鲁AG50K6', '鲁AA058K']",未知
971,轿车与电动三轮相撞,百大北200米,[],[],相撞
972,商务车与电动三轮车刮擦人没事,常春藤西门,[],[],刮擦
973,尼桑鲁AN961C与对方摩托车鲁AAL591事故无伤亡,堤口路西工商河路天发舜和十字路口,[],"['鲁AN961C', '鲁AAL591']",未知
974,轿车电动车事故人没事,二中门口,[],[],未知
975,鲁AB7A69对方鲁AC86B3将车门锁上走了不处理,工业北路恒大城西区和东区中间,[],"['鲁AB7A69', '鲁AC86B3']",相撞
976,鲁V7B365凯迪拉克13153137979与轿车刮擦鲁v车驾驶员报警要求交警现场处理,催警：花园路华信路口西100米,['凯迪拉克'],['鲁V7B365'],刮擦
977,鲁a03308f与鲁ag0860车不能开超5000人受伤,槐荫区政府门口,[],['鲁AG0860'],相撞
978,马自达鲁AJ2W99与雪佛兰鲁A566P6车损超5000,济洛路汽车厂东路交叉口西口,"['马自达', '雪佛兰']","['鲁AJ2W99', '鲁A566P6']",未知
979,报警人称红色长安鲁A615NB与自行车事故有人受伤已拨打120,市中区党家庄力明商业街进出口 罗而村附近,['长安'],['鲁A615NB'],未知
980,昨天下午4点半鲁A972EY铃木轿车和三轮车事故人当时受伤去医院,催警  历城区优公路141号,['铃木'],['鲁A972EY'],未知
981,鲁AD6879鲁AD687J轿车撞报警人的轿车后逃逸,大学城银座停车场,[],"['鲁AD6879', '鲁AD687J']",相撞
982,逃逸事故咨询不需要处理,赛博停车场,[],[],未知
983,福田鲁AW7H70倒车撞坏消防栓,齐州路与德州路路口路北,['福田'],['鲁AW7H70'],相撞
984,三车事故鲁AA72J8鲁VT792W鲁J18557,二环东路七里堡路口东南,[],"['鲁AA72J8', '鲁VT792W', '鲁J18557']",未知
985,快处依维柯鲁h360dz与货车鲁a19780刮擦,快处：郭店高速口,[],"['鲁H360DZ', '鲁A19780']",刮擦
986,面包车鲁A58W28与电动车事故人没事,槐荫区担山屯宋庄立交桥下面 在桥西头,[],['鲁A58W28'],未知
987,林肯鲁AJ31D0被撞肇事车逃逸求助处理,舜耕路8号中国人民保险,['林肯'],['鲁AJ31D0'],相撞
988,鲁a02718x公交与鲁A631Q3起亚刮擦,快处：经十路燕子山西路口西向东,['起亚'],['鲁A631Q3'],刮擦
989,电动车机动车事故人没事路东派出所已到了称需要交警处理,市中车管所 门口 ,[],[],未知
990,45路公交车与长安事故无伤鲁SAB325鲁AB3915协商私了,取消报警：幸福街天顺饭店门口,['长安'],"['鲁SAB325', '鲁AB3915']",未知
991,两点多起亚鲁AZ1T89与鲁AX5G75大众刮擦无伤亡,宋庄立交桥北边300米路西桥上,"['起亚', '大众']","['鲁AZ1T89', '鲁AX5G75']",刮擦
992,电动车与行人事故人受伤电动车逃逸,生产路与明湖北路路口,[],[],未知
993,11点半左右洒水车鲁AR2922与电动车事故人受伤已经看完病现在需要交警处理,清河北路菜园桥东侧,[],['鲁AR2922'],未知
994,依维柯鲁h360dz与危险品罐车无泄漏鲁a19780刮擦须出警,郭店高速口,[],"['鲁H360DZ', '鲁A19780']",未知
995,两车事故人没事对方不配合处理打114对方不来处理,催警：顺河高架桥 经四路下桥口附近,[],[],未知
996,摩托车鲁ACY226与自行车事故轻伤告知自行选择就医,,[],['鲁ACY226'],未知
997,鲁acy326摩托撞自行车受伤速出警,后坡街,[],['鲁ACY326'],相撞
998,鲁a291cs科鲁兹被车刮擦逃逸,蓝翔技校西500米,[],['鲁A291CS'],刮擦
999,两车事故人没事对方不配合处理打114对方不来处理,顺河高架桥 经四路下桥口附近,[],[],未知
